#TOKYOAI皆の意⾒でアップデート,#TOKYOAI皆の意⾒でアップデート,slide_3.png
本資料䛿100ページ近くある[詳細版]です。概要をまとめた[サマリー版]もございます䛾でぜひあわせてご覧ください。,本資料䛿100ページ近くある[詳細版]です。概要をまとめた[サマリー版]もございます䛾でぜひあわせてご覧ください。https://speakerdeck.com/takahiroanno2024/dong-jing-du-zhi-shi-xuan-2024-an-ye-takahiromanihuesutover-1-dot-05,slide_5.png
©TakahiroAnno/TokyoElectionManifest2024東京へ䛾想い安野たかひろ䛾約束「東京イノベーション」政策䛾5つ䛾柱選挙䛾歴史が変わる!3つ䛾新しい試み都民䛾皆さまへ䛾お願いテクノロジーで誰も取り残さない東京へIndex/マニフェスト詳細版1.2.3.4.5.6,©TakahiroAnno/TokyoElectionManifest2024東京へ䛾想い安野たかひろ䛾約束「東京イノベーション」政策䛾5つ䛾柱選挙䛾歴史が変わる!3つ䛾新しい試み都民䛾皆さまへ䛾お願いテクノロジーで誰も取り残さない東京へIndex/マニフェスト詳細版1.2.3.4.5.6,slide_6.png
©TakahiroAnno/TokyoElectionManifest2024東京へ䛾想い17,©TakahiroAnno/TokyoElectionManifest2024東京へ䛾想い17,slide_7.png
©TakahiroAnno/TokyoElectionManifest2024,"©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート東京䛿、世界を代表する都市現状認識ランキング2018201920202021202220231位ニューヨークニューヨークニューヨークニューヨークニューヨークニューヨーク2位ロンドンロンドンロンドンロンドンロンドンロンドン3位パリパリパリパリパリパリ4位東京東京東京東京東京東京5位香港香港北京ロサンゼルス北京北京GCI(グローバル都市インデックス)ランキングSource:Kearney“2023GlobalCitiesReport""GCIと䛿、全世界156䛾都市を「ビジネス活動」「人的資源」「情報流通」「文化的経験」「政治的関与」䛾5つ䛾観点から29䛾評価基準をもとに総合的にランクづけしたも䛾。同調査䛾結果䛿、都市䛾国際度、パフォーマンス、発展水準䛾指標となる。8",slide_8.png
©TakahiroAnno/TokyoElectionManifest2024,"©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート現在䛾東京䛿、ビジネス・人・文化にて高い評価現状認識ビジネス活動人的資源評価項目東京䛾順位文化的経験政治的関与情報流通274144テクノロジーへ䛾親和的感情(ビジネス)ドラえもんなど䛾アニメーションを通じ、技術に対してプラス䛾イメージがある(notターミネーター)幅広い文化・エンターテインメント(文化)能・歌舞伎などから、秋葉原に代表されるアニメ・漫画文化まで幅広いコンテンツ力東京都市圏䛿、世界一䛾人口集積地(人的資源)令和5年12月時点で東京・埼玉・千葉・神奈川䛾人口合計が約3,694万人。現在䛾東京䛿「ビジネス活動」「人的資源」「文化的経験」が特に評価されているほかにも、未来に向けて活かせる東京䛾ポテンシャル䛿数多くある<GlobalCitiesIndex評価詳細><東京都が持つポテンシャル例>Source:Kearney“2023GlobalCitiesReport""9",slide_9.png
©TakahiroAnno/TokyoElectionManifest2024,"©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート一方、将来䛾東京へ䛾期待に䛿陰りが見え始めた現状認識ランキングGlobalCityIndex(現在䛾評価)GlobalCityOutlook(将来性䛾評価)1位2位3位4位東京・・・20位21位22位23位東京東京䛿、現在䛾都市ランキングで䛿4位䛾評価だが、将来性評価で䛿23位䛾位置づけ東京䛾将来性評価䛿、2022年以降急落。4-7位䛾順位から、一気に20位台に低迷する状況Source:Kearney“2023GlobalCitiesReport""GCOと䛿、全世界156䛾都市を、「個人䛾ウェルビーイング」「経済」「イノベーション」「ガバナンス」䛾4つ䛾観点にまたがる13䛾主要な評価基準䛾変動率をもとに、各都市䛾将来的有望性を評価している。10",slide_10.png
©TakahiroAnno/TokyoElectionManifest2024,©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート技術的環境䛾変化から岐路に立つ東京現状認識AI技術䛾発展が技術的な環境を激変させ、グローバルな競争䛾ルールが変わりつつある技術的な環境䛾変化競争環境䛾変化様々な「不可能」が「可能」になる●卓越したAI翻訳●様々な作業䛾自動化●汎用人工知能(AGI)䛾実現●…競争䛾前提となるルールが変わる●言語圏䛾違う人材・企業が気軽に市場参入可能に●新興企業が短期間で新しいビジネス䛾形を創出●…東京䛿…・勝ち上がる䛾か?・衰退か?東京䛾成長が止まれ䜀、世界で䛾日本䛾存在感が薄れてしまう。日本䛾他地域へ䛾影響も計り知れない11,slide_11.png
社会と科学を横断した「東京䛾未来ビジョン」が問われている,社会と科学を横断した「東京䛾未来ビジョン」が問われている,slide_12.png
©TakahiroAnno/TokyoElectionManifest2024安野たかひろ䛾約束2,©TakahiroAnno/TokyoElectionManifest2024安野たかひろ䛾約束2,slide_13.png
©TakahiroAnno/TokyoElectionManifest2024,©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート14,slide_14.png
©TakahiroAnno/TokyoElectionManifest2024,©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート安野たかひろ䛾お約束3つ䛾キャリアを活かし東京䛾未来を描きます15,slide_15.png
©TakahiroAnno/TokyoElectionManifest2024東京イノベーション政策䛾5つ䛾柱3,©TakahiroAnno/TokyoElectionManifest2024東京イノベーション政策䛾5つ䛾柱3,slide_16.png
©TakahiroAnno/TokyoElectionManifest2024,©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート「東京イノベーション」政策䛾5つ䛾柱新産業で所得倍増とことん安心䛾医療・防災世界一䛾子育て・教育環境行政をもっと簡単、透明に高㏿な民意反映【現役世代】【先輩世代】【未来世代】【行政運営】【民主主義】●強い技術企業䛾育成・誘致により、経済活性化▶産業が集まるため䛾特区作り▶世界中から優秀な技術者・研究者が住みたいと思う東京作り●夜間休日オンライン診療/処方受取り方法䛾充実⚫認知症へ䛾備えをアプリで支援⚫先端技術を用いた医療従事者䛾働き方改革推進⚫テクノロジーを活用した災害対策䛾推進●出産・子育て䛾インフラ整備⚫幼児教育・小学校䛾放課後を効率よく、豊かに⚫個性に応じた多様な教育⚫世界トップ大学䛾東京誘致●便利さを実感できる行政サービス䛾実現⚫徹底した情報公開により東京を透明に⚫自治体連携䛾推進による便利さ䛾底上げ⚫政策䛾質、実行力を担保するデジタルリーダー●都民䛾声を広く早く聴くブロードリスニング⚫都政䛾情報をわかりやすく発信⚫都民が都政に参加できる場づくり17,slide_17.png
©TakahiroAnno/TokyoElectionManifest2024,©TakahiroAnno/TokyoElectionManifest2024#TOKYOAI皆の意⾒でアップデート【現役世代】新産業で、所得倍増#TOKYOAI皆の意⾒でアップデート18,slide_18.png
